번호,기호,이름,영어이름
1,H,수소,Hydrogen
2,He,헬륨,Helium
3,Li,리튬,Lithium
4,Be,베릴륨,Beryllium
5,B,붕소,Boron
6,C,탄소,Carbon
7,N,질소,Nitrogen
8,O,산소,Oxygen
9,F,플루오린,Fluorine
10,Ne,네온,Neon
11,Na,나트륨,Sodium
12,Mg,마그네슘,Magnesium
13,Al,알루미늄,Aluminium
14,Si,규소,Silicon
15,P,인,Phosphorus
16,S,황,Sulfur
17,Cl,염소,Chlorine
18,Ar,아르곤,Argon
19,K,칼륨,Potassium
20,Ca,칼슘,Calcium
21,Sc,스칸듐,Scandium
22,Ti,티타늄,Titanium
23,V,바나듐,Vanadium
24,Cr,크로뮴,Chromium
25,Mn,망가니즈,Manganese
26,Fe,철,Iron
27,Co,코발트,Cobalt
28,Ni,니켈,Nickel
29,Cu,구리,Copper
30,Zn,아연,Zinc
31,Ga,갈륨,Gallium
32,Ge,게르마늄,Germanium
33,As,비소,Arsenic
34,Se,셀레늄,Selenium
35,Br,브로민,Bromine
36,Kr,크립톤,Krypton
37,Rb,루비듐,Rubidium
38,Sr,스트론튬,Strontium
39,Y,이트륨,Yttrium
40,Zr,지르코늄,Zirconium
41,Nb,나이오븀,Niobium
42,Mo,몰리브데넘,Molybdenum
43,Tc,테크네튬,Technetium
44,Ru,루테늄,Ruthenium
45,Rh,로듐,Rhodium
46,Pd,팔라듐,Palladium
47,Ag,은,Silver
48,Cd,카드뮴,Cadmium
49,In,인듐,Indium
50,Sn,주석,Tin
51,Sb,안티모니,Antimony
52,Te,텔루륨,Tellurium
53,I,아이오딘,Iodine
54,Xe,제논,Xenon
55,Cs,세슘,Caesium
56,Ba,바륨,Barium
57,La,란타넘,Lanthanum
58,Ce,세륨,Cerium
59,Pr,프라세오디뮴,Praseodymium
60,Nd,네오디뮴,Neodymium
61,Pm,프로메튬,Promethium
62,Sm,사마륨,Samarium
63,Eu,유로퓸,Europium
64,Gd,가돌리늄,Gadolinium
65,Tb,터븀,Terbium
66,Dy,디스프로슘,Dysprosium
67,Ho,홀뮴,Holmium
68,Er,어븀,Erbium
69,Tm,툴륨,Thulium
70,Yb,이터븀,Ytterbium
71,Lu,루테튬,Lutetium
72,Hf,하프늄,Hafnium
73,Ta,탄탈럼,Tantalum
74,W,텅스텐,Tungsten
75,Re,레늄,Rhenium
76,Os,오스뮴,Osmium
77,Ir,이리듐,Iridium
78,Pt,백금,Platinum
79,Au,금,Gold
80,Hg,수은,Mercury
81,Tl,탈륨,Thallium
82,Pb,납,Lead
83,Bi,비스무트,Bismuth
84,Po,폴로늄,Polonium
85,At,아스타틴,Astatine
86,Rn,라돈,Radon
87,Fr,프랑슘,Francium
88,Ra,라듐,Radium
89,Ac,악티늄,Actinium
90,Th,토륨,Thorium
91,Pa,프로트악티늄,Protactinium
92,U,우라늄,Uranium
93,Np,넵투늄,Neptunium
94,Pu,플루토늄,Plutonium
95,Am,아메리슘,Americium
96,Cm,퀴륨,Curium
97,Bk,버클륨,Berkelium
98,Cf,캘리포늄,Californium
99,Es,아인슈타이늄,Einsteinium
100,Fm,페르뮴,Fermium
101,Md,멘델레븀,Mendelevium
102,No,노벨륨,Nobelium
103,Lr,로렌슘,Lawrencium
104,Rf,러더포듐,Rutherfordium
105,Db,더브늄,Dubnium
106,Sg,시보귬,Seaborgium
107,Bh,보륨,Bohrium
108,Hs,하슘,Hassium
109,Mt,마이트너륨,Meitnerium
110,Ds,다름슈타튬,Darmstadtium
111,Rg,뢴트게늄,Roentgenium
112,Cn,코페르니슘,Copernicium
113,Nh,니호늄,Nihonium
114,Fl,플레로븀,Flerovium
115,Mc,모스코븀,Moscovium
116,Lv,리버모륨,Livermorium
117,Ts,테네신,Tennessine
118,Og,오가네손,Oganesson